system loop timestamp,,,,,pressure sensor measurement timestamp,,,,,pressure sensor measurement voltage (V)
Hr,Min,Sec,mSec,,Hr,Min,Sec,mSec,,V
11,47,07,.703,,11,47,07,.724,,0.156445
11,47,07,.724,,11,47,08,.724,,0.166641
11,47,08,.703,,11,47,09,.724,,0.166641
11,47,09,.703,,11,47,10,.724,,0.166641
11,47,10,.704,,11,47,11,.724,,0.166641
11,47,11,.705,,11,47,12,.724,,0.166641
11,47,12,.705,,11,47,13,.724,,0.166641
11,47,13,.705,,11,47,14,.724,,0.166641
11,47,14,.705,,11,47,15,.724,,0.176836
11,47,15,.705,,11,47,16,.724,,0.197228
11,47,16,.705,,11,47,17,.724,,0.207424
11,47,17,.705,,11,47,18,.724,,0.227816
11,47,18,.704,,11,47,19,.724,,0.238012
11,47,19,.705,,11,47,20,.724,,0.248208
11,47,20,.704,,11,47,21,.724,,0.258404
11,47,21,.704,,11,47,22,.724,,0.268600
11,47,22,.703,,11,47,23,.724,,0.278796
11,47,23,.704,,11,47,24,.724,,0.299188
11,47,24,.703,,11,47,25,.724,,0.299188
11,47,25,.703,,11,47,26,.724,,0.319580
11,47,26,.704,,11,47,27,.724,,0.329776
11,47,27,.704,,11,47,28,.724,,0.329776
11,47,28,.704,,11,47,29,.724,,0.350167
11,47,29,.704,,11,47,30,.724,,0.350167
11,47,30,.704,,11,47,31,.724,,0.370559
11,47,31,.704,,11,47,32,.724,,0.370559
11,47,32,.705,,11,47,33,.724,,0.380755
11,47,33,.704,,11,47,34,.724,,0.401147
11,47,34,.704,,11,47,35,.724,,0.401147
11,47,35,.704,,11,47,36,.724,,0.411343
11,47,36,.704,,11,47,37,.724,,0.421539
11,47,37,.704,,11,47,38,.724,,0.421539
11,47,38,.704,,11,47,39,.724,,0.441931
11,47,39,.704,,11,47,40,.724,,0.452127
11,47,40,.703,,11,47,41,.724,,0.462323
11,47,41,.703,,11,47,42,.724,,0.472519
11,47,42,.704,,11,47,43,.724,,0.482715
11,47,43,.703,,11,47,44,.724,,0.482715
11,47,44,.705,,11,47,45,.724,,0.492911
11,47,45,.704,,11,47,46,.724,,0.503107
11,47,46,.705,,11,47,47,.724,,0.513302
11,47,47,.704,,11,47,48,.724,,0.523498
11,47,48,.704,,11,47,49,.724,,0.533694
11,47,49,.704,,11,47,50,.724,,0.543890
11,47,50,.705,,11,47,51,.724,,0.554086
11,47,51,.705,,11,47,52,.724,,0.564282
11,47,52,.705,,11,47,53,.724,,0.574478
11,47,53,.704,,11,47,54,.724,,0.584674
11,47,54,.704,,11,47,55,.724,,0.594870
