system timestamp,,,,total pulse counted since start
Hr,Min,Sec,mSec,count
11,47,07,.684,0.000000
11,47,08,.684,0.000000
11,47,09,.684,0.000000
11,47,10,.685,0.000000
11,47,11,.685,0.000000
11,47,12,.685,0.000000
11,47,13,.685,0.000000
11,47,14,.685,0.000000
11,47,15,.685,0.000000
11,47,16,.685,0.000000
11,47,17,.685,0.000000
11,47,18,.685,0.000000
11,47,19,.684,0.000000
11,47,20,.684,0.000000
11,47,21,.684,0.000000
11,47,22,.684,0.000000
11,47,23,.684,0.000000
11,47,24,.684,0.000000
11,47,25,.684,0.000000
11,47,26,.684,0.000000
11,47,27,.685,0.000000
11,47,28,.685,0.000000
11,47,29,.685,0.000000
11,47,30,.685,0.000000
11,47,31,.685,0.000000
11,47,32,.685,0.000000
11,47,33,.685,0.000000
11,47,34,.685,0.000000
11,47,35,.685,0.000000
11,47,36,.685,0.000000
11,47,37,.684,0.000000
11,47,38,.684,0.000000
11,47,39,.684,0.000000
11,47,40,.684,0.000000
11,47,41,.684,0.000000
11,47,42,.684,0.000000
11,47,43,.684,0.000000
11,47,44,.685,0.000000
11,47,45,.685,0.000000
11,47,46,.685,0.000000
11,47,47,.685,0.000000
11,47,48,.685,0.000000
11,47,49,.685,0.000000
11,47,50,.685,0.000000
11,47,51,.685,0.000000
11,47,52,.685,0.000000
11,47,53,.685,0.000000
11,47,54,.684,0.000000
11,47,55,.684,0.000000
11,47,56,.684,0.000000
11,47,57,.684,0.000000
11,47,58,.684,0.000000
11,47,59,.684,0.000000
11,48,00,.684,0.000000
11,48,01,.684,0.000000
11,48,02,.685,0.000000
11,48,03,.685,0.000000
11,48,04,.685,0.000000
11,48,05,.685,0.000000
11,48,06,.685,0.000000
11,48,07,.685,0.000000
11,48,08,.685,0.000000
11,48,09,.685,0.000000
11,48,10,.685,0.000000
11,48,11,.685,0.000000
11,48,12,.684,0.000000
11,48,13,.684,0.000000
11,48,14,.684,0.000000
11,48,15,.684,0.000000
11,48,16,.684,0.000000
11,48,17,.684,0.000000
11,48,18,.684,0.000000
11,48,19,.685,0.000000
11,48,20,.685,0.000000
11,48,21,.685,0.000000
11,48,22,.685,0.000000
11,48,23,.685,0.000000
11,48,24,.685,0.000000
11,48,25,.685,0.000000
11,48,26,.685,0.000000
11,48,27,.685,0.000000
11,48,28,.685,0.000000
11,48,29,.684,0.000000
11,48,30,.684,0.000000
11,48,31,.684,0.000000
11,48,32,.684,0.000000
11,48,33,.684,0.000000
11,48,34,.684,0.000000
11,48,35,.684,0.000000
11,48,36,.684,0.000000
11,48,37,.685,0.000000
11,48,38,.685,0.000000
11,48,39,.685,0.000000
11,48,40,.685,0.000000
11,48,41,.685,0.000000
11,48,42,.685,0.000000
11,48,43,.685,0.000000
11,48,44,.685,0.000000
11,48,45,.685,0.000000
11,48,46,.685,0.000000
11,48,47,.684,0.000000
11,48,48,.684,0.000000
11,48,49,.684,0.000000
11,48,50,.684,0.000000
11,48,51,.684,0.000000
11,48,52,.684,0.000000
11,48,53,.684,0.000000
11,48,54,.685,0.000000
11,48,55,.685,0.000000
11,48,56,.685,0.000000
11,48,57,.685,0.000000
11,48,58,.685,0.000000
11,48,59,.685,0.000000
11,49,00,.685,0.000000
11,49,01,.685,0.000000
11,49,02,.685,0.000000
11,49,03,.685,0.000000
11,49,04,.684,0.000000
11,49,05,.684,0.000000
11,49,06,.684,0.000000
11,49,07,.684,0.000000
11,49,08,.684,0.000000
11,49,09,.684,0.000000
11,49,10,.684,0.000000
11,49,11,.684,0.000000
11,49,12,.685,0.000000
11,49,13,.685,0.000000
11,49,14,.685,0.000000
11,49,15,.685,0.000000
11,49,16,.685,0.000000
11,49,17,.685,0.000000
11,49,18,.685,0.000000
11,49,19,.685,0.000000
11,49,20,.685,0.000000
11,49,21,.685,0.000000
11,49,22,.684,0.000000
11,49,23,.684,0.000000
11,49,24,.684,0.000000
11,49,25,.684,0.000000
11,49,26,.684,0.000000
11,49,27,.684,0.000000
11,49,28,.684,0.000000
11,49,29,.685,0.000000
11,49,30,.685,0.000000
11,49,31,.685,0.000000
11,49,32,.685,0.000000
11,49,33,.685,0.000000
11,49,34,.685,0.000000
11,49,35,.685,0.000000
11,49,36,.685,0.000000
11,49,37,.685,0.000000
11,49,38,.685,0.000000
11,49,39,.684,0.000000
11,49,40,.684,0.000000
11,49,41,.684,0.000000
11,49,42,.684,0.000000
11,49,43,.684,0.000000
11,49,44,.684,0.000000
11,49,45,.684,0.000000
11,49,46,.684,0.000000
11,49,47,.685,0.000000
11,49,48,.685,0.000000
11,49,49,.685,0.000000
11,49,50,.685,0.000000
11,49,51,.685,0.000000
11,49,52,.685,0.000000
11,49,53,.685,0.000000
11,49,54,.685,0.000000
11,49,55,.685,0.000000
11,49,56,.685,0.000000
11,49,57,.684,0.000000
11,49,58,.684,0.000000
11,49,59,.684,0.000000
11,50,00,.684,0.000000
