system time,,,,PWM duty
Hr,Min,Sec,mSec,0.5-0.99
11,47,07,.681,0.430000
11,47,07,.690,0.430000
11,47,08,.690,0.430000
11,47,09,.690,0.430000
11,47,10,.691,0.430000
11,47,11,.691,0.430000
11,47,12,.691,0.700000
11,47,13,.691,0.700000
11,47,14,.691,0.700000
11,47,15,.691,0.700000
11,47,16,.691,0.700000
11,47,17,.691,0.700000
11,47,18,.691,0.700000
11,47,19,.690,0.700000
11,47,20,.690,0.700000
11,47,21,.690,0.700000
11,47,22,.690,0.700000
11,47,23,.690,0.700000
11,47,24,.690,0.700000
11,47,25,.690,0.700000
11,47,26,.690,0.700000
11,47,27,.691,0.700000
11,47,28,.691,0.700000
11,47,29,.691,0.700000
11,47,30,.691,0.700000
11,47,31,.691,0.700000
11,47,32,.691,0.700000
11,47,33,.691,0.700000
11,47,34,.691,0.700000
11,47,35,.691,0.700000
11,47,36,.691,0.700000
11,47,37,.690,0.700000
11,47,38,.690,0.700000
11,47,39,.690,0.700000
11,47,40,.690,0.700000
11,47,41,.690,0.700000
11,47,42,.690,0.700000
11,47,43,.690,0.700000
11,47,44,.691,0.700000
11,47,45,.691,0.700000
11,47,46,.691,0.700000
11,47,47,.691,0.700000
11,47,48,.691,0.700000
11,47,49,.691,0.700000
11,47,50,.691,0.700000
11,47,51,.691,0.700000
11,47,52,.691,0.700000
11,47,53,.691,0.700000
11,47,54,.690,0.700000
11,47,55,.690,0.700000
11,47,56,.690,0.700000
11,47,57,.690,0.700000
11,47,58,.690,0.700000
11,47,59,.690,0.700000
11,48,00,.690,0.700000
11,48,01,.690,0.700000
11,48,02,.691,0.700000
11,48,03,.691,0.700000
11,48,04,.691,0.700000
11,48,05,.691,0.700000
11,48,06,.691,0.700000
11,48,07,.691,0.700000
11,48,08,.691,0.700000
11,48,09,.691,0.700000
11,48,10,.691,0.700000
11,48,11,.691,0.700000
11,48,12,.690,0.700000
11,48,13,.690,0.700000
11,48,14,.690,0.700000
11,48,15,.690,0.700000
11,48,16,.690,0.700000
11,48,17,.690,0.700000
11,48,18,.690,0.700000
11,48,19,.691,0.700000
11,48,20,.691,0.700000
11,48,21,.691,0.700000
11,48,22,.691,0.700000
11,48,23,.691,0.700000
11,48,24,.691,0.700000
11,48,25,.691,0.700000
11,48,26,.691,0.700000
11,48,27,.691,0.700000
11,48,28,.691,0.700000
11,48,29,.690,0.700000
11,48,30,.690,0.700000
11,48,31,.690,0.700000
11,48,32,.690,0.700000
11,48,33,.690,0.700000
11,48,34,.690,0.700000
11,48,35,.690,0.700000
11,48,36,.690,0.700000
11,48,37,.691,0.700000
11,48,38,.691,0.700000
11,48,39,.691,0.700000
11,48,40,.691,0.700000
11,48,41,.691,0.700000
11,48,42,.691,0.700000
11,48,43,.691,0.700000
11,48,44,.691,0.700000
11,48,45,.691,0.700000
11,48,46,.691,0.700000
11,48,47,.690,0.700000
11,48,48,.690,0.700000
11,48,49,.690,0.700000
11,48,50,.690,0.700000
11,48,51,.690,0.700000
